client_id,day1_v_avg,day1_i_std,day1_t_max,day1_r_int,day2_v_avg,day2_i_std,day2_t_max,day2_r_int,day3_v_avg,day3_i_std,day3_t_max,day3_r_int,day4_v_avg,day4_i_std,day4_t_max,day4_r_int,day5_v_avg,day5_i_std,day5_t_max,day5_r_int,day6_v_avg,day6_i_std,day6_t_max,day6_r_int,day7_v_avg,day7_i_std,day7_t_max,day7_r_int,soh
1,12.7,0.47,28.21,0.0143,12.65,0.68,29.65,0.013,12.58,0.79,41.77,0.013,12.67,0.57,28.48,0.0209,12.7,0.4,31.13,0.0233,12.6,0.42,26.99,0.013,12.66,0.72,33.18,0.0181,91.5
2,12.69,0.31,33.39,0.013,12.67,0.77,28.57,0.0144,12.63,0.3,39.3,0.0193,12.67,0.63,33.29,0.013,12.67,0.77,34.98,0.013,12.69,0.44,32.1,0.013,12.69,0.77,27.44,0.0245,91.5
3,12.7,0.37,29.47,0.013,12.68,0.9,28.08,0.0159,12.63,0.82,39.54,0.0131,12.61,0.59,29.7,0.0208,12.54,0.3,33.33,0.0154,12.62,0.42,33.75,0.013,12.64,0.3,31.87,0.013,91.5
4,12.7,0.3,33.16,0.0149,12.68,0.65,34.1,0.0183,12.64,0.49,38.35,0.013,12.7,0.8,30.08,0.0146,12.69,0.32,34.06,0.013,12.65,0.49,29.49,0.0191,12.54,0.59,35.02,0.013,91.5
5,12.69,0.64,32.22,0.013,12.65,0.76,34.48,0.0181,12.69,0.58,39.17,0.013,12.62,0.34,32.51,0.0221,12.65,0.79,33.64,0.013,12.61,0.77,29.14,0.0149,12.58,0.59,31.44,0.0139,91.5
6,12.69,0.3,29.22,0.013,12.63,0.59,33.6,0.0143,12.69,0.52,40.38,0.0153,12.66,0.57,29.9,0.013,12.61,0.84,27.45,0.013,12.7,0.55,27.58,0.0235,12.63,0.77,27.6,0.013,91.5
7,12.7,0.44,28.73,0.013,12.7,0.61,31.75,0.013,12.7,0.5,41.02,0.013,12.7,0.72,32.19,0.0134,12.56,0.7,33.97,0.0201,12.7,0.89,29.59,0.013,12.55,0.39,31.08,0.013,91.5
8,12.7,0.71,28.01,0.013,12.64,0.3,34.67,0.0177,12.7,0.83,40.83,0.013,12.7,0.6,30.35,0.013,12.61,0.35,30.52,0.025,12.6,0.71,32.57,0.013,12.63,0.57,29.31,0.014,91.5
9,12.68,0.53,28.93,0.013,12.7,0.47,30.73,0.0188,12.7,0.3,38.79,0.0156,12.67,0.3,30.37,0.013,12.65,0.37,28.99,0.013,12.67,0.36,30.94,0.013,12.56,0.77,30.78,0.013,91.5
10,12.7,0.79,28.33,0.013,12.61,0.53,27.26,0.0138,12.61,0.31,38.47,0.013,12.65,0.39,31.35,0.013,12.66,0.37,34.57,0.0162,12.66,0.68,29.99,0.013,12.58,0.78,32.23,0.0176,91.5
11,12.68,0.72,31.87,0.013,12.65,0.67,30.01,0.013,12.67,0.57,41.99,0.013,12.66,0.74,29.9,0.015,12.68,0.35,31.16,0.0225,12.63,0.34,30.78,0.0137,12.62,0.62,31.53,0.013,91.5
12,12.68,0.48,31.76,0.013,12.7,0.3,28.37,0.013,12.7,0.41,38.81,0.013,12.7,0.36,30.62,0.013,12.63,0.47,28.43,0.0198,12.7,0.54,34.35,0.013,12.65,0.8,31.85,0.0221,91.5
13,12.7,0.78,31.72,0.0145,12.7,0.56,32.44,0.013,12.68,0.71,40.97,0.0149,12.7,0.8,29.64,0.013,12.62,0.42,33.32,0.0235,12.63,0.75,28.4,0.0187,12.65,0.77,30.42,0.013,91.5
14,12.6,0.74,32.2,0.0169,12.62,0.35,29.29,0.013,12.68,0.44,38.76,0.013,12.68,0.62,28.14,0.013,12.6,0.9,27.68,0.013,12.65,0.7,31.59,0.0189,12.63,0.41,33.42,0.013,91.5
15,12.61,0.47,33.55,0.013,12.7,0.78,30.71,0.0204,12.7,0.43,38.91,0.013,12.67,0.35,32.6,0.013,12.67,0.45,30.64,0.013,12.56,0.44,30.17,0.0214,12.61,0.77,33.56,0.0157,91.5
16,12.67,0.42,34.28,0.013,12.7,0.63,34.5,0.0133,12.6,0.55,38.5,0.0195,12.59,0.74,33.3,0.013,12.67,0.7,29.27,0.016,12.56,0.34,34.12,0.0193,12.59,0.6,27.82,0.013,91.5
17,12.65,0.61,28.87,0.0159,12.7,0.54,34.9,0.013,12.7,0.8,41.86,0.013,12.7,0.41,30.34,0.013,12.62,0.54,27.09,0.013,12.63,0.9,28.74,0.013,12.65,0.64,33.01,0.0158,91.5
18,12.7,0.79,31.72,0.013,12.68,0.74,31.32,0.013,12.62,0.79,41.8,0.0188,12.65,0.39,33.9,0.013,12.63,0.5,33.51,0.013,12.64,0.78,33.26,0.014,12.62,0.54,31.39,0.014,91.5
19,12.65,0.7,27.64,0.0135,12.59,0.9,29.25,0.013,12.64,0.59,38.55,0.0187,12.62,0.86,32.37,0.0152,12.61,0.78,31.28,0.013,12.55,0.69,31.54,0.0134,12.65,0.86,32.07,0.013,91.5
20,12.63,0.42,27.96,0.0131,12.69,0.86,30.56,0.0153,12.63,0.32,40.85,0.025,12.52,0.31,31.82,0.0192,12.67,0.5,27.79,0.0145,12.6,0.7,32.01,0.0147,12.57,0.41,33.8,0.013,91.5
21,12.7,0.73,32.24,0.013,12.7,0.78,34.09,0.013,12.68,0.56,40.58,0.0168,12.63,0.47,29.54,0.0158,12.62,0.33,31.14,0.013,12.7,0.76,35.02,0.013,12.59,0.9,32.38,0.013,91.5
22,12.69,0.57,30.85,0.013,12.7,0.49,28.93,0.013,12.69,0.58,39.01,0.0145,12.68,0.54,27.26,0.013,12.63,0.79,31.01,0.0137,12.62,0.66,34.19,0.013,12.62,0.7,34.33,0.013,91.5
23,12.7,0.69,33.19,0.0147,12.7,0.3,27.53,0.013,12.65,0.57,39.19,0.019,12.67,0.67,27.8,0.0132,12.54,0.37,29.95,0.0137,12.66,0.3,34.6,0.0218,12.61,0.41,32.86,0.0131,91.5
24,12.63,0.73,30.41,0.013,12.65,0.54,33.51,0.013,12.61,0.48,40.25,0.013,12.66,0.39,34.33,0.013,12.65,0.46,34.59,0.013,12.64,0.63,34.75,0.013,12.59,0.53,32.4,0.013,91.5
25,12.67,0.62,28.05,0.013,12.66,0.74,31.12,0.0147,12.61,0.68,39.94,0.0149,12.62,0.48,27.13,0.0131,12.67,0.72,33.3,0.013,12.63,0.3,33.64,0.021,12.65,0.9,28.1,0.0174,91.5
26,12.7,0.77,33.97,0.0138,12.57,0.7,34.19,0.013,12.64,0.42,39.54,0.013,12.65,0.88,29.26,0.025,12.64,0.87,32.57,0.0137,12.6,0.39,32.19,0.0139,12.62,0.42,30.72,0.013,91.5
27,12.64,0.7,27.71,0.0179,12.7,0.7,32.41,0.0161,12.7,0.51,39.74,0.0236,12.67,0.46,32.87,0.013,12.67,0.63,33.98,0.013,12.58,0.52,32.97,0.0132,12.7,0.6,31.85,0.013,91.5
28,12.7,0.74,28.45,0.0157,12.64,0.38,27.21,0.0144,12.56,0.59,40.52,0.013,12.7,0.68,29.6,0.013,12.7,0.57,33.08,0.013,12.62,0.41,29.02,0.013,12.57,0.9,31.88,0.013,91.5
29,12.67,0.3,29.13,0.013,12.67,0.37,33.24,0.0202,12.7,0.59,38.04,0.0162,12.7,0.44,29.6,0.013,12.69,0.83,30.87,0.0181,12.69,0.34,34.64,0.0143,12.63,0.37,28.77,0.0174,91.5
30,12.69,0.85,34.96,0.013,12.7,0.7,28.56,0.013,12.63,0.5,40.96,0.0147,12.66,0.46,33.89,0.018,12.57,0.42,31.79,0.0217,12.56,0.72,29.04,0.0147,12.6,0.66,32.01,0.013,91.5
31,12.67,0.83,30.44,0.0156,12.66,0.56,28.06,0.013,12.69,0.56,39.07,0.013,12.69,0.85,28.49,0.0173,12.63,0.65,30.61,0.013,12.63,0.72,33.26,0.0157,12.54,0.7,32.04,0.0172,91.5
32,12.7,0.34,31.07,0.013,12.63,0.49,31.51,0.0163,12.68,0.46,41.9,0.013,12.67,0.82,34.27,0.013,12.68,0.66,30.63,0.013,12.7,0.77,32.89,0.0181,12.69,0.5,31.0,0.0131,91.5
33,12.7,0.61,33.12,0.013,12.7,0.64,30.47,0.0135,12.64,0.48,41.92,0.013,12.63,0.88,27.92,0.013,12.62,0.82,31.81,0.0182,12.66,0.73,31.28,0.013,12.63,0.6,34.57,0.0161,91.5
34,12.65,0.38,32.12,0.014,12.6,0.75,29.4,0.013,12.7,0.39,38.37,0.013,12.59,0.67,30.68,0.021,12.67,0.56,32.19,0.013,12.62,0.34,27.39,0.013,12.59,0.4,32.74,0.013,91.5
35,12.7,0.71,33.7,0.0187,12.7,0.73,31.78,0.013,12.56,0.72,39.75,0.0133,12.7,0.8,28.77,0.013,12.59,0.83,27.62,0.013,12.64,0.62,28.97,0.013,12.58,0.76,34.91,0.014,91.5
36,12.64,0.69,30.91,0.0194,12.7,0.43,32.93,0.013,12.67,0.48,39.82,0.015,12.68,0.4,34.86,0.015,12.61,0.66,27.26,0.0134,12.63,0.51,31.47,0.013,12.7,0.65,28.75,0.0158,91.5
37,12.7,0.37,34.8,0.0133,12.66,0.58,30.92,0.013,12.57,0.33,40.2,0.0145,12.6,0.81,27.26,0.013,12.58,0.83,32.47,0.013,12.69,0.3,34.24,0.0139,12.61,0.4,33.23,0.013,91.5
38,12.6,0.79,33.42,0.013,12.66,0.73,33.37,0.013,12.68,0.54,38.28,0.0145,12.7,0.9,28.09,0.013,12.64,0.54,30.12,0.013,12.64,0.67,32.61,0.0166,12.6,0.48,32.56,0.013,91.5
39,12.63,0.49,30.13,0.013,12.64,0.9,30.46,0.013,12.7,0.7,40.12,0.0183,12.69,0.38,30.02,0.0175,12.69,0.7,33.76,0.013,12.55,0.6,30.72,0.013,12.59,0.3,32.69,0.013,91.5
40,12.7,0.87,29.99,0.0228,12.67,0.85,30.97,0.013,12.63,0.82,40.1,0.0142,12.7,0.4,29.47,0.0218,12.62,0.61,27.0,0.0225,12.61,0.37,32.0,0.0214,12.62,0.87,33.99,0.0162,91.5
41,12.7,0.47,34.43,0.013,12.68,0.52,31.27,0.0186,12.7,0.67,41.36,0.017,12.7,0.9,29.84,0.013,12.61,0.52,30.24,0.0137,12.64,0.37,28.89,0.0153,12.64,0.57,32.26,0.013,91.5
